Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
108.5,tn-uav-satellite,2,7,-53.7538,0,13.6761,9.15554,1,TN_DIRECT,TN_DIRECT,True,1
110.5,tn-uav-satellite,0,5,-64.5998,0,12.7207,8.20007,1,TN_DIRECT,TN_DIRECT,True,1
110.5,tn-uav-satellite,1,6,-62.4539,0,8.88114,4.36054,1,TN_DIRECT,TN_DIRECT,True,1
110.5,tn-uav-satellite,2,7,-53.367,0,6.03093,1.51033,1,TN_DIRECT,TN_DIRECT,True,1
112.5,tn-uav-satellite,0,5,-67.1791,0,10.6763,6.15569,1,TN_DIRECT,TN_DIRECT,True,1
112.5,tn-uav-satellite,1,6,-62.568,0,10.4679,5.9473,1,TN_DIRECT,TN_DIRECT,True,1
112.5,tn-uav-satellite,2,7,-53.4753,0,12.4669,7.94626,1,TN_DIRECT,TN_DIRECT,True,1
114.5,tn-uav-satellite,1,6,-65.6009,0,14.0386,9.51799,1,TN_DIRECT,TN_DIRECT,True,1
114.5,tn-uav-satellite,0,5,-63.9493,0,10.8154,6.29484,1,TN_DIRECT,TN_DIRECT,True,1
114.5,tn-uav-satellite,2,7,-55.6581,0,12.5833,8.06266,1,TN_DIRECT,TN_DIRECT,True,1
116.5,tn-uav-satellite,1,6,-65.9357,0,13.6219,9.10135,1,TN_DIRECT,TN_DIRECT,True,1
116.5,tn-uav-satellite,0,5,-68.4938,0,13.0061,8.48554,1,TN_DIRECT,TN_DIRECT,True,1
116.5,tn-uav-satellite,2,7,-52.5146,0,10.6497,6.12906,1,TN_DIRECT,TN_DIRECT,True,1
118.5,tn-uav-satellite,1,6,-65.5057,0,9.83806,5.31746,1,TN_DIRECT,TN_DIRECT,True,1
118.5,tn-uav-satellite,0,5,-64.2532,0,11.9036,7.38303,1,TN_DIRECT,TN_DIRECT,True,1
118.5,tn-uav-satellite,2,7,-51.9041,0,13.36,8.83936,1,TN_DIRECT,TN_DIRECT,True,1
