t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
12.0,10,10,0,2.30639,20.0386,0.0,1,1.83704,0.0,1.0,0.46934999999999993,0.0
14.0,10,10,0,2.01559,12.5387,0.0,1,2.30639,0.0,1.0,-0.29079999999999995,0.0
16.0,10,10,0,-5.91175,26.6175,0.0,1,2.01559,0.0,1.0,-7.927339999999999,0.0
18.0,10,10,0,12.5292,24.5072,0.0,1,-5.91175,0.0,1.0,18.44095,0.0
20.0,10,10,0,-6.21366,7.32446,0.0,1,12.5292,0.0,1.0,-18.74286,0.0
22.0,10,10,0,4.29321,17.0213,0.0,1,-6.21366,0.0,1.0,10.50687,0.0
24.0,10,10,0,-7.26856,15.7767,0.0,1,4.29321,0.0,1.0,-11.56177,0.0
26.0,10,10,0,-12.3717,9.73908,0.0,1,-7.26856,0.0,1.0,-5.103140000000001,0.0
28.0,10,10,0,0.242605,6.48738,0.0,1,-12.3717,0.0,1.0,12.614305,0.0
30.0,10,10,0,1.96154,24.9857,0.0,1,0.242605,0.0,1.0,1.718935,0.0
32.0,10,10,0,-5.81099,9.60752,0.0,1,1.96154,0.0,1.0,-7.772530000000001,0.0
34.0,10,10,0,-11.1224,13.8491,0.0,1,-5.81099,0.0,1.0,-5.31141,0.0
36.0,10,10,0,0.829746,18.6311,0.0,1,-11.1224,0.0,1.0,11.952146,0.0
4.0,11,9,0,8.84155,-100.0,3.11415,0,12.7424,4.3077,0.0,-3.90085,-1.1935499999999997
6.0,11,9,0,22.405,-100.0,7.45105,0,8.84155,3.11415,0.0,13.563450000000001,4.3369
8.0,11,9,0,8.20379,-100.0,2.92841,0,22.405,7.45105,0.0,-14.201210000000001,-4.522640000000001
10.0,11,9,0,1.59801,-100.0,1.2897,0,8.20379,2.92841,0.0,-6.605779999999999,-1.6387099999999999
12.0,11,9,0,-2.52176,-100.0,0.641112,0,1.59801,1.2897,0.0,-4.11977,-0.648588
14.0,11,9,0,11.333,-100.0,3.86715,0,-2.52176,0.641112,0.0,13.85476,3.226038
16.0,11,9,0,0.320224,-100.0,1.05417,0,11.333,3.86715,0.0,-11.012776,-2.81298
18.0,11,9,0,17.1074,-100.0,5.71077,0,0.320224,1.05417,0.0,16.787176,4.6566
20.0,11,9,0,17.3738,-100.0,5.79763,0,17.1074,5.71077,0.0,0.26640000000000086,0.08685999999999972
22.0,11,9,0,-2.29447,-100.0,0.668659,0,17.3738,5.79763,0.0,-19.66827,-5.128971
24.0,11,9,0,13.4451,-100.0,4.53021,0,-2.29447,0.668659,0.0,15.73957,3.8615510000000004
26.0,11,9,0,12.2073,-100.0,4.13945,0,13.4451,4.53021,0.0,-1.2378,-0.3907600000000002
28.0,11,9,0,19.6047,-100.0,6.52825,0,12.2073,4.13945,0.0,7.397400000000001,2.3888
30.0,11,9,0,6.77855,-100.0,2.52675,0,19.6047,6.52825,0.0,-12.826150000000002,-4.0015
32.0,11,9,0,13.468,-100.0,4.53748,0,6.77855,2.52675,0.0,6.68945,2.0107300000000006
34.0,11,9,0,22.2435,-100.0,7.39771,0,13.468,4.53748,0.0,8.775500000000001,2.8602299999999996
36.0,11,9,0,-1.81403,-100.0,0.729934,0,22.2435,7.39771,0.0,-24.05753,-6.667776
4.0,12,10,0,6.59657,3.00387,0.893431,0,0.399808,0.0,1.0,6.196762,0.893431
6.0,12,10,0,-1.00279,17.3763,0.0,1,6.59657,0.893431,0.0,-7.59936,-0.893431
8.0,12,10,0,4.67814,22.725,0.0,1,-1.00279,0.0,1.0,5.68093,0.0
10.0,12,10,0,2.4382,24.7825,0.0,1,4.67814,0.0,1.0,-2.23994,0.0
12.0,12,10,0,17.4118,20.0386,0.0,1,2.4382,0.0,1.0,14.9736,0.0
14.0,12,10,0,-2.47635,12.5387,0.0,1,17.4118,0.0,1.0,-19.88815,0.0
16.0,12,10,0,1.39268,26.6175,0.0,1,-2.47635,0.0,1.0,3.86903,0.0
18.0,12,10,0,10.8465,24.5072,0.0,1,1.39268,0.0,1.0,9.45382,0.0
20.0,12,10,0,-1.96667,7.32446,0.0,1,10.8465,0.0,1.0,-12.813170000000001,0.0
22.0,12,10,0,1.00618,17.0213,0.0,1,-1.96667,0.0,1.0,2.97285,0.0
24.0,12,10,0,6.40047,15.7767,0.0,1,1.00618,0.0,1.0,5.39429,0.0
26.0,12,10,0,3.4497,9.73908,0.0,1,6.40047,0.0,1.0,-2.9507700000000003,0.0
28.0,12,10,0,26.1849,6.48738,6.25461,0,3.4497,0.0,1.0,22.7352,6.25461
30.0,12,10,0,-6.31974,24.9857,0.0,1,26.1849,6.25461,0.0,-32.50464,-6.25461
32.0,12,10,0,7.716,9.60752,0.0,1,-6.31974,0.0,1.0,14.03574,0.0
34.0,12,10,0,8.57859,13.8491,0.0,1,7.716,0.0,1.0,0.86259,0.0
36.0,12,10,0,-7.94377,18.6311,0.0,1,8.57859,0.0,1.0,-16.52236,0.0
