t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
22.0,12,6,0,30.3724,-100.0,10.0908,0,29.038,9.64802,0.0,1.3343999999999987,0.44277999999999906
24.0,12,6,0,54.0446,-100.0,17.9532,0,30.3724,10.0908,0.0,23.672200000000004,7.862399999999999
26.0,12,6,0,23.3199,-100.0,7.75339,0,54.0446,17.9532,0.0,-30.724700000000002,-10.19981
28.0,12,6,0,20.4154,-100.0,6.79491,0,23.3199,7.75339,0.0,-2.9044999999999987,-0.9584799999999998
30.0,12,6,0,8.16461,-100.0,2.91711,0,20.4154,6.79491,0.0,-12.250790000000002,-3.8777999999999997
32.0,12,6,0,15.2797,-100.0,5.11795,0,8.16461,2.91711,0.0,7.11509,2.2008400000000004
34.0,12,6,0,29.5476,-100.0,9.81711,0,15.2797,5.11795,0.0,14.2679,4.699159999999999
36.0,12,6,0,22.5096,-100.0,7.48562,0,29.5476,9.81711,0.0,-7.038,-2.3314899999999996
4.0,13,2,0,4.37534,-100.0,1.90251,0,1.12856,1.19959,0.0,3.2467799999999993,0.70292
6.0,13,2,0,6.42138,-100.0,2.4294,0,4.37534,1.90251,0.0,2.0460400000000005,0.5268899999999999
8.0,13,2,0,-8.38859,-100.0,0.195252,0,6.42138,2.4294,0.0,-14.80997,-2.234148
10.0,13,2,0,5.37854,-100.0,2.1539,0,-8.38859,0.195252,0.0,13.767130000000002,1.9586480000000002
12.0,13,2,0,7.27972,-100.0,2.66569,0,5.37854,2.1539,0.0,1.90118,0.51179
14.0,13,2,0,-1.63095,-100.0,0.75439,0,7.27972,2.66569,0.0,-8.91067,-1.9113000000000002
16.0,13,2,0,-1.67351,-100.0,0.74865,0,-1.63095,0.75439,0.0,-0.04256000000000015,-0.005739999999999967
18.0,13,2,0,-5.5161,-100.0,0.35704,0,-1.67351,0.74865,0.0,-3.8425899999999995,-0.39161
20.0,13,2,0,-2.64959,-100.0,0.62602,0,-5.5161,0.35704,0.0,2.86651,0.26898
22.0,13,2,0,0.583454,-100.0,1.10016,0,-2.64959,0.62602,0.0,3.233044,0.47414
24.0,13,2,0,-0.435272,-100.0,0.929514,0,0.583454,1.10016,0.0,-1.018726,-0.17064600000000008
26.0,13,2,0,-1.18753,-100.0,0.816197,0,-0.435272,0.929514,0.0,-0.752258,-0.113317
28.0,13,2,0,-1.1145,-100.0,0.826729,0,-1.18753,0.816197,0.0,0.07302999999999993,0.010532000000000097
30.0,13,2,0,-3.33462,-100.0,0.549937,0,-1.1145,0.826729,0.0,-2.22012,-0.27679200000000004
32.0,13,2,0,2.07316,-100.0,1.38505,0,-3.33462,0.549937,0.0,5.407780000000001,0.8351129999999999
34.0,13,2,0,3.69754,-100.0,1.7411,0,2.07316,1.38505,0.0,1.62438,0.3560500000000002
36.0,13,2,0,-4.90649,-100.0,0.403933,0,3.69754,1.7411,0.0,-8.60403,-1.337167
4.0,14,2,0,15.7116,-100.0,5.2575,0,13.9592,4.69399,0.0,1.7524000000000015,0.56351
