Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
68.5,tn-uav-satellite,1,6,-121.036,UNREACHABLE,64,UNREACHABLE,0,10.5282,6.00759,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
68.5,tn-uav-satellite,2,7,-118.224,UNREACHABLE,56,UNREACHABLE,0,9.68596,5.16536,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
70.5,tn-uav-satellite,0,5,-73.8027,HEALTHY,66,HEALTHY,0,13.38,8.85943,1,TN_DIRECT,TN_DIRECT,True,1
70.5,tn-uav-satellite,1,6,-123.143,UNREACHABLE,66,UNREACHABLE,0,15.5373,11.0167,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
70.5,tn-uav-satellite,2,7,-119.981,UNREACHABLE,58,UNREACHABLE,0,11.2934,6.7728,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
72.5,tn-uav-satellite,2,7,-124.384,UNREACHABLE,60,UNREACHABLE,0,8.10548,3.58488,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
72.5,tn-uav-satellite,0,5,-68.685,HEALTHY,68,HEALTHY,0,9.77508,5.25448,1,TN_DIRECT,TN_DIRECT,True,1
72.5,tn-uav-satellite,1,6,-123.1,UNREACHABLE,68,UNREACHABLE,0,14.1403,9.61966,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
74.5,tn-uav-satellite,1,6,-117.642,UNREACHABLE,70,UNREACHABLE,0,14.9176,10.397,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
74.5,tn-uav-satellite,2,7,-114.058,UNREACHABLE,62,UNREACHABLE,0,13.0503,8.5297,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
